AUTHOR	DATE	TECHNIQUE	LOCATION	FORM	TYPE	SCHOOL	TIMEFRAME
"ADEMOLLO, Luigi"	1800-10	Fresco	"Palazzo Bianchi-Bandinelli, Siena"	painting	historical	Italian	1801-1850
"ADEMOLLO, Luigi"	1800-10	Fresco	"Palazzo Bianchi-Bandinelli, Siena"	painting	historical	Italian	1801-1850
"ADEMOLLO, Luigi"	1800-10	Fresco	"Palazzo Bianchi-Bandinelli, Siena"	painting	historical	Italian	1801-1850
"ADLER, Salomon"	1650s	"Oil on canvas, 74 x 60 cm"	Private collection	painting	portrait	German	1651-1700
"ADRIAENSSEN, Alexander"	1643	"Oil on canvas, 58 x 87 cm"	"The Hermitage, St. Petersburg"	painting	still-life	Flemish	1601-1650
"ADRIAENSSEN, Alexander"	-	"Oil on oak panel, 55 x 75,6 cm"	"Groeninge Museum, Bruges"	painting	still-life	Flemish	1601-1650
"ADRIAENSSEN, Alexander"	1646	"Oil on panel, 44 x 64 cm"	Private collection	painting	still-life	Flemish	1601-1650
"ADRIAENSSEN, Alexander"	1630s	"Oil on oak panel, 44 x 36 cm"	"Národní Galerie, Prague"	painting	still-life	Flemish	1601-1650
ADRIANO FIORENTINO	1498	"Brass, height 62 cm"	"Staatliche Kunstsammlungen, Dresden"	sculpture	portrait	Italian	1451-1500
ADRIANO FIORENTINO	c. 1494	"Bronze, diameter 8 cm"	"National Gallery of Art, Washington"	sculpture	portrait	Italian	1451-1500
ADRIANO FIORENTINO	1488-94	"Bronze, height 50 cm"	"Museo di Sant'Agostino, Genoa"	sculpture	portrait	Italian	1451-1500
ADRIANO FIORENTINO	1488-94	"Marble, 51 x 33 cm"	"Metropolitan Museum of Art, New York"	sculpture	portrait	Italian	1451-1500
ADRIANO FIORENTINO	c. 1488	"Cast copper alloy, diameter 9 cm"	"National Gallery of Art, Washington"	sculpture	portrait	Italian	1451-1500
ADRIANO FIORENTINO	1490s	"Bronze, height 42 cm (with base)"	"Museum of Art, Philadelphia"	sculpture	mythological	Italian	1451-1500
"AELST, Willem van"	1671	"Oil on canvas, 49 x 41 cm"	"Akademie der bildenden Künste, Vienna"	painting	still-life	Dutch	1651-1700
